ID,Review.ID,Date,Title,Source.Name,Reviewer,Related,Sellers,Buyers,Brokers,Surgery
6775,28,5/28/2000,Interpol hunts queen of the kidney trade,The Sunday Times (London),Anna,1,Moldova,Turkey,Moldova,Turkey
25700,51,11/29/2000,China organ donors sell online,South China Morning Post,Anna,1,"China, India, Nepal",India,China,"India, Nepal"
3,57,1/11/2001,I'M BUYING KIDNEY OF EXECUTED CHINESE CONVICT,Daily Star,Anna,1,China,United Kingdom,China,China
9,60,1/12/2001,MIKE BIDS FOR LAG'S KIDNEY,The Sun (England),Anna,1,China,United Kingdom,China,China
16,63,1/16/2001,COMMENT; SIMPLY FUELLING CHINA'S INHUMAN ECONOMY,The Express,Anna,1,China,United Kingdom,China,China
1001,69,4/2/2001,British GPs selling donor kidneys,The Straits Times (Singapore),Anna,1,"India, Turkey",United Kingdom,"India, Turkey, United Kingdom","India, Turkey, United Kingdom"
7464,108,3/29/2002,Europe's poorest sell their kidneys,National Post (f/k/a The Financial Post)(Canada),Gabriel,1,"Moldova, Turkey","Israel, Turkey",Turkey,Turkey
14564,113,5/5/2002,trading in the bizarre,"Herald Sun/Sunday Herald Sun (Melbourne, Australia)",Gabriel,1,"Moldova, Turkey",Israel,Turkey,Turkey
25506,125,8/31/2002,Black market kidney traffic on the rise: Transplant society warns people who sell their organs,Edmonton Journal (Alberta),Gabriel,1,"India, Iraq",United Kingdom,United Kingdom,India
26207,135,9/5/2002,"We sold our own kidneys for the sake of our poor children; As a British GP is struck off for offering a kidney from a live donor, we visit the village at the centre of this barbaric trade",The Daily Mail and Mail on Sunday (London),Gabriel,1,"Africa, Moldova, United Kingdom","Israel, United States","Moldova, Turkey, United Kingdom, United States","Georgia, Turkey, Ukraine, United States"
27066,148,10/14/2002,DOCTOR ACCUSED OVER LIVING DONOR TRANSPLANTS,PA UK & Ireland National Newswire,Gabriel,1,India,United Kingdom,United Kingdom,India
1052,184,6/20/2003,Indians busted for running kidney sale racket,Agence France Presse - English,Gabriel,1,India,India,India,India
2149,203,9/30/2003,Buying kidneys from the poor; Syndicates cash in on illegal trade,"The Hamilton Spectator (Ontario, Canada)",Rosy,1,"Bulgaria, Estonia, Georgia, India, Moldova, Romania, Russian Federation, Turkey, Ukraine","India, Israel, Moldova, United Kingdom","Moldova, Turkey","Moldova, Turkey"
3203,212,12/3/2003,"Police arrest 11, including 2 Israelis, for human organ trafficking",The Canadian Press,Rosy,1,"Brazil, United Kingdom",Israel,South Africa,South Africa
3222,223,12/4/2003,11 held for selling kidneys,The Vancouver Province (British Columbia),Rosy,1,Brazil,"Israel, South Africa","Israel, South Africa",South Africa
3629,231,12/5/2003,Two arrests in body parts syndicate,The Irish Times,Rosy,1,Brazil,Israel,South Africa,South Africa
3641,239,12/6/2003,Israeli convicted for receiving illegal kidney in South Africa,The Canadian Press,Rosy,1,Brazil,"Israel, South Africa","Israel, South Africa",South Africa
4057,252,1/4/2004,The joy a new kidney brings Six months ago his six-year-old son was near death for want of an organ donor. Robert Gore-Langton offers thanks to the family who gave Hal 'the gift of life' - and wishes more people would resolve to do the same,The Sunday Telegraph (London),Rosy,1,India,United Kingdom,India,India
4459,256,1/15/2004,Ex- Israeli army officer arrested in Brazil charged with illegal organ trafficking,Agence France Presse - English,Rosy,1,Brazil,Israel,South Africa,South Africa
4900,264,2/23/2004,BRAZIL : POOR SELL ORGANS TO TRANS-ATLANTIC TRAFFICKING RING,Inter Press Service,Rosy,1,Brazil,Israel,South Africa,South Africa
5258,266,2/29/2004,"At least 30 Brazilians sold kidneys, price got cheaper as supply increased, panel told.",RDS Business & Industry Database,Rosy,1,Brazil,Israel,South Africa,South Africa
6294,277,5/23/2004,Tracking the Sale of a Kidney On a Path of Poverty and Hope,The New York Times,Rosy,1,"Brazil, Ireland",United States,Israel,South Africa
10649,314,3/6/2005,Fed: Some Australians buying kidneys overseas: report,AAP Newsfeed,Anna,1,"China, India, Iraq, Lebanon, Philippines",Australia,"China, India, Iraq, Lebanon, Philippines","China, India, Iraq, Lebanon, Philippines"
11374,320,3/22/2005,'A death sentence',The Halifax Daily News,Anna,1,India,Canada,India,Canada
21412,376,3/22/2006,China's human organ industry to the rescue of despairing Japanese,The Irish Times,Gabriel,1,"China, Egypt","Japan, Jordan, Middle East, Saudi Arabia","Egypt, Japan","China, Egypt"
25640,401,8/6/2006,State determined to nail freed kidney-trade accused,Sunday Times (South Africa),Valerie,1,"Brazil, Israel, Romania",Israel,Israel,South Africa
28100,407,10/1/2006,Purchased kidney may have been used in transplant at Ehime hospital,Japan Economic Newswire,Valerie,1,Japan,Japan,Japan,Japan
980,417,12/21/2006,ST. LUKE'S TO HELP KIDNEY SALE PROBE,The Manila Times,Valerie,1,"Japan, Philippines",Japan,"Japan, Philippines","Japan, Philippines"
5480,472,5/20/2007,Scots fuel &pound,The Sunday Times (London),Valerie,1,Pakistan,United Kingdom,United States,"Pakistan, United Kingdom"
7134,502,8/13/2007,Kidney racket uncovered near Bangalore,HT Syndication,Shriya,1,"India, Pakistan","European countries, India, United Kingdom","India, Pakistan","India, Pakistan"
8153,526,10/2/2007,PAKISTAN : ORGAN PEDDLERS PREY ON POOR NEIGHBORHOODS,Inter Press Service,Shriya,1,"Pakistan, United Kingdom",United Kingdom,"Pakistan, United Kingdom","Pakistan, United Kingdom"
9543,540,12/3/2007,"Transplant tourist flew 7,000 miles hoping for a pounds 40,000 kidney",The Western Mail,Shriya,1,Philippines,"Japan, United Kingdom, United States",Philippines,Philippines
11915,634,2/19/2008,'Dr. Horror's' brother in custody Kidney harvesting suspect said to have helped with surgeries,The Toronto Star,Zifu,1,India,India,India,India
12531,642,3/21/2008,Prof Rizvi decries violation of anti-organ trade law,Pakistan Press International,Zifu,1,Iran,"Pakistan, United Kingdom",Pakistan,Iran
13847,668,5/21/2008,CAPITAL VIEW Human organ trafficking,BusinessWorld,Zifu,1,Brazil,Israel,South Africa,South Africa
14236,671,6/23/2008,Vietnam student dies after selling kidney in China: report,Agence France Presse - English,Zifu,1,Vietnam,China,China,China
16661,720,9/3/2008,"RETAIL MAGNATE JAILED,FINED $17000 FOR BUYING KIDNEY FROM INDONESIAN",UNI (United News of India),Yang,1,Indonesia,Singapore,Singapore,Singapore
19076,749,11/28/2008,Kidney trafficking case reopened,Daily News (South Africa),Yang,1,Brazil,Israel,South Africa,South Africa
20698,773,3/18/2009,Egypt pressured to end underground organ trade,Associated Press International,Yang,1,Egypt,Saudi Arabia,Egypt,Egypt
23129,793,7/16/2009,Man must choose between selling kidney or child,CNN.com,Yang,1,"Iraq, Pakistan, Philippines",Saudi Arabia,Iraq,Pakistan
23140,797,7/22/2009,Israelis and Rabbis caught in US crime scandals,AlArabiya.net,Yang,1,Israel,United States,"Israel, United States",United States
23510,807,7/25/2009,Organ 'matchmaker'?,The Bismarck Tribune,Patrick,1,"Brazil, India, Israel, Moldova","Israel, South Africa, Turkey, United States","South Africa, United States, Israel","South Africa, United States"
