Date,Title,Source.Name,ID,predicted_related,Sellers,Buyers,Brokers,Surgery,group
2000-05-28T00:00:00Z,Interpol hunts queen of the kidney trade,The Sunday Times (London),6775,1,Moldova,Turkey,Moldova,Turkey,6
2000-11-29T00:00:00Z,China organ donors sell online,South China Morning Post,25700,1,"China, India",India,China,India,20
2001-01-11T00:00:00Z,I'M BUYING KIDNEY OF EXECUTED CHINESE CONVICT,Daily Star,3,1,China,United Kingdom,China,China,29
2001-01-12T00:00:00Z,MIKE BIDS FOR LAG'S KIDNEY,The Sun (England),9,1,China,"England, United Kingdom",China,China,30
2001-01-16T00:00:00Z,COMMENT; SIMPLY FUELLING CHINA'S INHUMAN ECONOMY,The Express,16,1,China,United Kingdom,China,China,32
2001-04-02T00:00:00Z,British GPs selling donor kidneys,The Straits Times (Singapore),1001,1,"India, Turkey",Israel,"India, Turkey","India, Turkey",36
2002-03-29T00:00:00Z,Europe's poorest sell their kidneys,National Post (f/k/a The Financial Post)(Canada),7464,1,Turkey,"Israel, Turkey",Turkey,"Israel, Turkey",56
2002-05-05T00:00:00Z,trading in the bizarre,"Herald Sun/Sunday Herald Sun (Melbourne, Australia)",14564,1,Turkey,Turkey,Russia,Turkey,58
2002-08-31T00:00:00Z,Black market kidney traffic on the rise: Transplant society warns people who sell their organs,Edmonton Journal (Alberta),25506,1,"Brazil, Britain, China, India, Pakistan","Britain, India","Brazil, Britain, China, India, Israel, Pakistan","Britain, India, Iraq, London",63
2002-09-05T00:00:00Z,"We sold our own kidneys for the sake of our poor children; As a British GP is struck off for offering a kidney from a live donor, we visit the village at the centre of this barbaric trade",The Daily Mail and Mail on Sunday (London),26207,1,"India, Moldova",Moldova,"India, Moldova",Moldova,69
2002-10-14T00:00:00Z,DOCTOR ACCUSED OVER LIVING DONOR TRANSPLANTS,PA UK & Ireland National Newswire,27066,1,India,India,India,India,71
2002-12-03T00:00:00Z,Two men are arrested on charges of trafficking human organs,Associated Press International,27862,1,Russia,Israel,Russia,Turkey,76
2003-06-20T00:00:00Z,Indians busted for running kidney sale racket,Agence France Presse - English,1052,1,India,India,India,India,85
2003-09-30T00:00:00Z,Buying kidneys from the poor; Syndicates cash in on illegal trade,"The Hamilton Spectator (Ontario, Canada)",2149,1,Moldova,"Israel, Russia, Turkey",Moldova,Turkey,95
2003-12-03T00:00:00Z,"Police arrest 11, including 2 Israelis, for human organ trafficking",The Canadian Press,3203,1,"Brazil, Israel, South Africa","India, Israel, South Africa","India, Israel","Brazil, India, South Africa",101
2003-12-04T00:00:00Z,11 held for selling kidneys,The Vancouver Province (British Columbia),3222,1,Israel,Israel,Israel,South Africa,175
2003-12-05T00:00:00Z,TWO MORE HELD OVER TRAFFICKING OF BODY PARTS,The Independent (United Kingdom),3624,1,"Brazil, Israel",Israel,"Brazil, Israel",South Africa,179
2003-12-05T00:00:00Z,Two arrests in body parts syndicate,The Irish Times,3629,1,Brazil,Brazil,Brazil,Brazil,184
2003-12-06T00:00:00Z,Israeli convicted for receiving illegal kidney in South Africa,The Canadian Press,3641,1,"Brazil, Israel, South Africa","Brazil, Israel, South Africa","Brazil, Israel, South Africa","Brazil, South Africa",235
2004-01-04T00:00:00Z,The joy a new kidney brings Six months ago his six-year-old son was near death for want of an organ donor. Robert Gore-Langton offers thanks to the family who gave Hal 'the gift of life' - and wishes more people would resolve to do the same,The Sunday Telegraph (London),4057,1,India,India,India,"India, UK",236
2004-01-15T00:00:00Z,Ex- Israeli army officer arrested in Brazil charged with illegal organ trafficking,Agence France Presse - English,4459,1,Israel,Israel,Israel,South Africa,244
2004-02-23T00:00:00Z,BRAZIL : POOR SELL ORGANS TO TRANS-ATLANTIC TRAFFICKING RING,Inter Press Service,4900,1,Brazil,Israel,Israel,South Africa,255
2004-02-29T00:00:00Z,"At least 30 Brazilians sold kidneys, price got cheaper as supply increased, panel told.",RDS Business & Industry Database,5258,1,Brazil,Israel,Israel,South Africa,258
2004-05-23T00:00:00Z,Tracking the Sale of a Kidney On a Path of Poverty and Hope,The New York Times,6294,1,"Brazil, Iran, Israel, Romania","Iran, Israel, Romania, United States","Iran, Israel, Romania",Brazil,265
2005-03-06T00:00:00Z,Fed: Some Australians buying kidneys overseas: report,AAP Newsfeed,10649,1,"China, India, Iraq, Lebanon;S",Australia,"China, India, Iraq","China, India",297
2005-03-22T00:00:00Z,'A death sentence',The Halifax Daily News,11374,1,"Canada, India","Canada, India","Canada, India",Canada,298
2006-01-07T00:00:00Z,Bulgaria busts black market for kidneys,Agence France Presse - English,18391,1,"Chechnya, Georgia, Israel, Moldova, Russia",Israel,Israel,Bulgaria,320
2006-03-22T00:00:00Z,China's human organ industry to the rescue of despairing Japanese,The Irish Times,21412,1,"China, Egypt, Japan","Japan, Saudi Arabia","Egypt, Japan",China,325
2006-05-15T00:00:00Z,Buying organs is wrong,Windsor Star,23826,1,Pakistan,Canada,Canada,Pakistan,330
2006-08-06T00:00:00Z,State determined to nail freed kidney-trade accused,Sunday Times (South Africa),25640,1,Israel,Israel,Israel,"Israel, South Africa",334
2006-10-01T00:00:00Z,Purchased kidney may have been used in transplant at Ehime hospital,Japan Economic Newswire,28100,1,Japan,Japan,Japan,Japan,336
2006-12-21T00:00:00Z,ST. LUKE'S TO HELP KIDNEY SALE PROBE,The Manila Times,980,1,"Japan, Philippines","Japan, Philippines","Japan, Philippines","Japan, Philippines",341
2007-01-09T00:00:00Z,I sold kidney to buy a TV,The Sun (England),1632,1,"Bulgaria, Pakistan, United Kingdom","Britain, Pakistan, United Kingdom","Bulgaria, Pakistan","India, Turkey",342
2007-05-20T00:00:00Z,Scots fuel &pound,The Sunday Times (London),5480,1,Pakistan,"Pakistan, Scotland",Pakistan,Pakistan,378
2007-08-13T00:00:00Z,Kidney racket uncovered near Bangalore,HT Syndication,7134,1,"India, Pakistan","Britain, India","India, Pakistan","India, Pakistan",401
2007-10-02T00:00:00Z,PAKISTAN : ORGAN PEDDLERS PREY ON POOR NEIGHBORHOODS,Inter Press Service,8153,1,"Pakistan, Scotland",Scotland,"Pakistan, Scotland","Britain, Pakistan",427
2007-12-03T00:00:00Z,"Transplant tourist flew 7,000 miles hoping for a pounds 40,000 kidney",The Western Mail,9543,1,Philippines,Philippines,Philippines,Philippines,441
2008-02-19T00:00:00Z,'Dr. Horror's' brother in custody Kidney harvesting suspect said to have helped with surgeries,The Toronto Star,11915,1,"Canada, India","Britain, Canada, Greece, Turkey, United States","Canada, India",India,484
2008-03-21T00:00:00Z,Prof Rizvi decries violation of anti-organ trade law,Pakistan Press International,12531,1,"Iran, Kuwait","Iran, Kuwait","Iran, Kuwait","Iran, Pakistan",486
2008-05-21T00:00:00Z,CAPITAL VIEW Human organ trafficking,BusinessWorld,13847,1,Philippines,Israel,Philippines,Philippines,499
2008-06-23T00:00:00Z,Vietnam student dies after selling kidney in China: report,Agence France Presse - English,14236,1,Vietnam,China,China,China,503
2008-09-03T00:00:00Z,"RETAIL MAGNATE JAILED,FINED $17000 FOR BUYING KIDNEY FROM INDONESIAN",UNI (United News of India),16661,1,"Indonesia, Singapore","Indonesia, Singapore","Indonesia, Singapore",Singapore,554
2008-11-28T00:00:00Z,Kidney trafficking case reopened,Daily News (South Africa),19076,1,"Brazil, Israel","Brazil, Israel",Israel,South Africa,588
