ID,Review.ID,Date,Title,Source.Name,Related,Sellers,Buyers,Brokers,Surgery
19710,42,10/30/2000,Villagers sell kidneys to survive,The Calgary Herald (Alberta),1,"Moldova, Turkey","Istanbul, Turkey, Turkey","Moldova, Turkey",Turkey
3,57,1/11/2001,I'M BUYING KIDNEY OF EXECUTED CHINESE CONVICT,Daily Star,1,China,"Britain, China",China,"China, Britain"
1001,69,4/2/2001,British GPs selling donor kidneys,The Straits Times (Singapore),1,India,Britain,"India, Britain","India, Germany, United Kingdom"
19220,95,8/28/2001,Ukraine surgeon to sue police for saying he smuggles human kidneys,dpa international (Englischer Dienst),1,Ukraine,"Ukraine, Austria, Germany, Poland","Ukraine, Austria, Germany, Poland","Austria, Germany, Poland, Ukraine"
3739,101,2/12/2002,Flourishing kidney trade leaves a trail of misery in India,Agence France Presse - English,1,India,India,India,India
7464,108,3/29/2002,Europe's poorest sell their kidneys,National Post (f/k/a The Financial Post)(Canada),1,"Moldova, Turkey, Romania",Israel,"Turkey, Israel","Turkey, Israel"
14564,113,5/5/2002,trading in the bizarre,"Herald Sun/Sunday Herald Sun (Melbourne, Australia)",1,"Moldova, Romania, Turkey, Israel",Israel,"Turkey, Moldova, Israel","Turkey, Moldova, Israel"
25471,115,8/29/2002,British GP accused of trafficking in human organs,The Times (London),1,"India, UK, Germany","Britain, Germany, India, UK","India, UK","India, United Kingdom, Germany"
25475,117,8/29/2002,Desperation for donors fuels a murky trade,The Times (London),1,"India, Turkey, China, Philippines, Argentina, Chile, Brazil","Britain, India, China, United States, Argentina, Chile, Brazil, Philippines, Taiwan","India, United States, China","India, Britain, United States, China"
26207,135,9/5/2002,"We sold our own kidneys for the sake of our poor children; As a British GP is struck off for offering a kidney from a live donor, we visit the village at the centre of this barbaric trade",The Daily Mail and Mail on Sunday (London),1,"Moldova, Ukraine, Britain, Britain, America","Israel, America, Britain","Moldova, Turkey, Georgia, Ukraine, Britain, America","Turkey, Georgia, Ukraine"
27066,148,10/14/2002,DOCTOR ACCUSED OVER LIVING DONOR TRANSPLANTS,PA UK & Ireland National Newswire,1,India,"India, UK","India, United Kingdom","India, England"
27483,158,11/9/2002,Moldovan sold kidney to buy dad's medicine,"The Hamilton Spectator (Ontario, Canada)",1,"Moldova, Israel",Israel,"Turkey, Moldova",Turkey
28687,161,1/17/2003,Indian police bust murky trade in human kidneys,Agence France Presse - English,1,India,India,India,India
1052,184,6/20/2003,Indians busted for running kidney sale racket,Agence France Presse - English,1,India,India,India,India
1402,191,7/6/2003,The World: Scandal of trade in body organs that leaves young scarred for life,The Observer (London),1,"Moldova, Italy, Russia, Israel","Russia, Israel","Moldova, Turkey, Germany, Italy","Turkey, Italy"
2149,203,9/30/2003,Buying kidneys from the poor; Syndicates cash in on illegal trade,"The Hamilton Spectator (Ontario, Canada)",1,"Moldova, Estonia, Bulgaria, Turkey, Georgia, Russia, Romania, Ukraine, India","Israel, Russia","Moldova, Turkey","Turkey, India"
3203,212,12/3/2003,"Police arrest 11, including 2 Israelis, for human organ trafficking",The Canadian Press,1,Brazil,"Israel, South Africa","Brazil, South Africa, Israel",South Africa
3215,219,12/4/2003,"Human organ traffickers arrested in Brazil ; Two Israelis, nine Brazilians accused of talking 30 men into selling their kidney","The Hamilton Spectator (Ontario, Canada)",1,Brazil,"Israel, South Africa","Brazil, South Africa, Israel",South Africa
3220,222,12/4/2003,Letter: A simple solution to transplant tourism,The Guardian (London),1,"Iran, India",UK,"Iran, India, UK","Iran, UK"
3629,231,12/5/2003,Two arrests in body parts syndicate,The Irish Times,1,Brazil,Israel,"Brazil, Israel, South Africa",South Africa
3641,239,12/6/2003,Israeli convicted for receiving illegal kidney in South Africa,The Canadian Press,1,Brazil,"Israel, South Africa","Israel, South Africa, Brazil",South Africa
