Date,Title,Source.Name,ID,predicted_related,Sellers,Buyers,Brokers,Surgery,group
2000-10-30T00:00:00Z,Villagers sell kidneys to survive,The Calgary Herald (Alberta),19710,1,Moldova,Turkey,Turkey,Turkey,11
2001-01-11T00:00:00Z,I'M BUYING KIDNEY OF EXECUTED CHINESE CONVICT,Daily Star,3,1,China,United Kingdom,China,China,29
2001-04-02T00:00:00Z,British GPs selling donor kidneys,The Straits Times (Singapore),1001,1,"India, Turkey",Israel,"India, Turkey","India, Turkey",36
2001-08-28T00:00:00Z,Ukraine surgeon to sue police for saying he smuggles human kidneys,dpa international (Englischer Dienst),19220,1,Ukraine,Ukraine,Ukraine,Ukraine,47
2002-02-12T00:00:00Z,Flourishing kidney trade leaves a trail of misery in India,Agence France Presse - English,3739,1,India,India,India,India,51
2002-03-29T00:00:00Z,Europe's poorest sell their kidneys,National Post (f/k/a The Financial Post)(Canada),7464,1,Turkey,"Israel, Turkey",Turkey,"Israel, Turkey",56
2002-05-05T00:00:00Z,trading in the bizarre,"Herald Sun/Sunday Herald Sun (Melbourne, Australia)",14564,1,Turkey,Turkey,Russia,Turkey,58
2002-08-29T00:00:00Z,British GP accused of trafficking in human organs,The Times (London),25471,1,India,India,India,India,59
2002-08-29T00:00:00Z,Desperation for donors fuels a murky trade,The Times (London),25475,1,"China, India, Taiwan, US",India,India,"Germany, India",60
2002-09-05T00:00:00Z,"We sold our own kidneys for the sake of our poor children; As a British GP is struck off for offering a kidney from a live donor, we visit the village at the centre of this barbaric trade",The Daily Mail and Mail on Sunday (London),26207,1,"India, Moldova",Moldova,"India, Moldova",Moldova,69
2002-10-14T00:00:00Z,DOCTOR ACCUSED OVER LIVING DONOR TRANSPLANTS,PA UK & Ireland National Newswire,27066,1,India,India,India,India,71
2002-11-09T00:00:00Z,Moldovan sold kidney to buy dad's medicine,"The Hamilton Spectator (Ontario, Canada)",27483,1,Moldova,"Israel, Romania, Ukraine",Turkey,Turkey,75
2002-12-03T00:00:00Z,Two men are arrested on charges of trafficking human organs,Associated Press International,27862,1,Russia,Israel,Russia,Turkey,76
2003-01-17T00:00:00Z,Indian police bust murky trade in human kidneys,Agence France Presse - English,28687,1,India,India,India,India,78
2003-06-20T00:00:00Z,Indians busted for running kidney sale racket,Agence France Presse - English,1052,1,India,India,India,India,85
2003-07-06T00:00:00Z,The World: Scandal of trade in body organs that leaves young scarred for life,The Observer (London),1402,1,Russia,Russia,Russia,Turkey,86
2003-09-30T00:00:00Z,Buying kidneys from the poor; Syndicates cash in on illegal trade,"The Hamilton Spectator (Ontario, Canada)",2149,1,Moldova,"Israel, Russia, Turkey",Moldova,Turkey,95
2003-12-03T00:00:00Z,"Police arrest 11, including 2 Israelis, for human organ trafficking",The Canadian Press,3203,1,"Brazil, Israel, South Africa","India, Israel, South Africa","India, Israel","Brazil, India, South Africa",101
2003-12-04T00:00:00Z,"Human organ traffickers arrested in Brazil ; Two Israelis, nine Brazilians accused of talking 30 men into selling their kidney","The Hamilton Spectator (Ontario, Canada)",3215,1,"Brazil, Israel","Iraq, Israel",Israel,South Africa,138
2003-12-04T00:00:00Z,Letter: A simple solution to transplant tourism,The Guardian (London),3220,1,Iran,Iran,Iran,Iran,144
2003-12-05T00:00:00Z,TWO MORE HELD OVER TRAFFICKING OF BODY PARTS,The Independent (United Kingdom),3624,1,"Brazil, Israel",Israel,"Brazil, Israel",South Africa,179
2003-12-05T00:00:00Z,Two arrests in body parts syndicate,The Irish Times,3629,1,Brazil,Brazil,Brazil,Brazil,184
2003-12-06T00:00:00Z,Israeli convicted for receiving illegal kidney in South Africa,The Canadian Press,3641,1,"Brazil, Israel, South Africa","Brazil, Israel, South Africa","Brazil, Israel, South Africa","Brazil, South Africa",235
2004-01-04T00:00:00Z,The joy a new kidney brings Six months ago his six-year-old son was near death for want of an organ donor. Robert Gore-Langton offers thanks to the family who gave Hal 'the gift of life' - and wishes more people would resolve to do the same,The Sunday Telegraph (London),4057,1,India,India,India,"India, UK",236
2004-01-07T00:00:00Z,"I am, therefore I sell: There aren't enough donors, so it's time to let people sell their organs legally.",Ottawa Citizen,4065,1,Brazil,Brazil,South Africa,South Africa,240
